timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687083703337,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703342,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703342,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703342,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703347,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,4
1687083703347,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,4
1687083703347,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,4
1687083703352,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703352,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703352,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703357,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703357,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703357,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703361,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703361,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703361,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703366,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703366,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703366,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703371,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703371,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703371,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703376,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703376,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703376,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703381,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703381,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703381,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703386,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703386,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703386,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703391,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703391,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703391,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703396,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703396,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
